count,date,type,sub
121,201301, ICMP ,None
557,201301, Others,None
1233,201301, TCP ,ACK:17;SYN:1216
121,201302, ICMP ,None
557,201302, Others,None
1233,201302, TCP ,ACK:17;SYN:1216
121,201303, ICMP ,None
557,201303, Others,None
1233,201303, TCP ,ACK:17;SYN:1216
121,201304, ICMP ,None
557,201304, Others,None
1233,201304, TCP ,ACK:17;SYN:1216
121,201305, ICMP ,None
557,201305, Others,None
1233,201305, TCP ,ACK:17;SYN:1216
121,201306, ICMP ,None
557,201306, Others,None
1233,201306, TCP ,ACK:17;SYN:1216
189,201306, UDP ,None
267,201307, ICMP ,None
1120,201307, Others,None
2471,201307, TCP ,ACK:25;SYN:2446
275,201307, UDP ,None
467,201308, ICMP ,None
2015,201308, Others,None
3167,201308, TCP ,ACK:38;SYN:3129
347,201308, UDP ,None
587,201309, ICMP ,None
2820,201309, Others,None
3677,201309, TCP ,ACK:47;SYN:3630
444,201309, UDP ,None
745,201310, ICMP ,None
3556,201310, Others,None
4206,201310, TCP ,ACK:52;SYN:4154
594,201310, UDP ,None
833,201311, ICMP ,None
4617,201311, Others,None
4562,201311, TCP ,ACK:66;SYN:4496
1093,201311, UDP ,None
908,201312, ICMP ,None
6078,201312, Others,None
5152,201312, TCP ,SYN:5086
1686,201312, UDP ,None
962,201401, ICMP ,None
7451,201401, Others,None
5692,201401, TCP ,ACK:68;SYN:5624
2041,201401, UDP ,None
1015,201402, ICMP ,None
8673,201402, Others,None
6137,201402, TCP ,ACK:73;SYN:6064
2388,201402, UDP ,None
1084,201403, ICMP ,None
10467,201403, Others,None
7230,201403, TCP ,ACK:96;SYN:7134
2729,201403, UDP ,None
1173,201404, ICMP ,None
12055,201404, Others,None
7645,201404, TCP ,ACK:214;SYN:7431
3561,201404, UDP ,None
1384,201405, ICMP ,None
17358,201405, Others,None
11019,201405, TCP ,ACK:312;SYN:10707
4173,201405, UDP ,None
1428,201406, ICMP ,None
19119,201406, Others,None
12439,201406, TCP ,ACK:443;SYN:11996
4549,201406, UDP ,None
1492,201407, ICMP ,None
20489,201407, Others,None
12920,201407, TCP ,ACK:529;SYN:12391
4957,201407, UDP ,None
1548,201408, ICMP ,None
21656,201408, Others,None
16775,201408, TCP ,ACK:670;SYN:16105
5529,201408, UDP ,None
1015,201409, ICMP ,None
8673,201409, Others,None
6137,201409, TCP ,ACK:73;SYN:6064
2388,201409, UDP ,None
1015,201410, ICMP ,None
8673,201410, Others,None
6137,201410, TCP ,ACK:73;SYN:6064
2388,201410, UDP ,None
1015,201411, ICMP ,None
8673,201411, Others,None
6137,201411, TCP ,ACK:73;SYN:6064
2388,201411, UDP ,None
1015,201412, ICMP ,None
8673,201412, Others,None
6137,201412, TCP ,ACK:73;SYN:6064
2388,201412, UDP ,None
