count,date,srv
0,201301,None
0,201302,None
0,201303,None
1,201304,SCANNING
0,201305,None
639,201306,SCANNING
258,201306,UNKNOWN
38,201306,DNS
29,201306,HTTP
9,201306,HTTPS
6,201306,SSH Remote Login Protocol
3,201306,NetBIOS Name Service
1110,201307,SCANNING
522,201307,UNKNOWN
76,201307,HTTP
54,201307,DNS
13,201307,HTTPS
9,201307,SSH Remote Login Protocol
2,201307,NNTP
2,201307,SNEWS
1468,201308,SCANNING
900,201308,UNKNOWN
196,201308,HTTP
82,201308,DNS
29,201308,HTTPS
10,201308,SSH Remote Login Protocol
6,201308,SNEWS
4,201308,NNTP
1,201308,POP3
1962,201309,SCANNING
1063,201309,UNKNOWN
283,201309,HTTP
115,201309,DNS
40,201309,HTTPS
11,201309,SSH Remote Login Protocol
8,201309,NNTP
7,201309,SNEWS
4,201309,NetBIOS Name Service
2382,201310,SCANNING
1403,201310,UNKNOWN
364,201310,HTTP
129,201310,DNS
60,201310,HTTPS
17,201310,SSH Remote Login Protocol
9,201310,NNTP
3157,201311,SCANNING
1856,201311,UNKNOWN
507,201311,HTTP
142,201311,DNS
67,201311,HTTPS
10,201311,SNEWS
3967,201312,SCANNING
2458,201312,UNKNOWN
723,201312,HTTP
152,201312,DNS
95,201312,HTTPS
19,201312,SSH Remote Login Protocol
17,201312,SNEWS
10,201312,NNTP
2,201312,RJE
1,201312,DHCP Client
4744,201401,SCANNING
3026,201401,UNKNOWN
942,201401,HTTP
164,201401,DNS
114,201401,HTTPS
22,201401,SNEWS
12,201401,NNTP
5254,201402,SCANNING
3834,201402,UNKNOWN
1249,201402,HTTP
175,201402,DNS
174,201402,HTTPS
24,201402,SNEWS
14,201402,NNTP
1,201402,SMTP
5537,201403,SCANNING
4418,201403,UNKNOWN
1378,201403,HTTP
218,201403,HTTPS
181,201403,DNS
27,201403,SNEWS
15,201403,NNTP
2,201403,Telnet
1,201403,SNMP
1,201403,TCPMUX
7132,201404,SCANNING
4819,201404,UNKNOWN
1639,201404,HTTP
303,201404,HTTPS
201,201404,DNS
28,201404,SNEWS
16,201404,NNTP
2,201404,Socks
8864,201405,SCANNING
5077,201405,UNKNOWN
1931,201405,HTTP
355,201405,HTTPS
30,201405,SNEWS
17,201405,NNTP
2,201405,FTP -- Data
2,201405,SMTP
2,201405,SNMP
1,201405,BGP
9154,201406,SCANNING
5322,201406,UNKNOWN
2207,201406,HTTP
410,201406,HTTPS
208,201406,DNS
31,201406,SNEWS
3,201406,SMTP
9492,201407,SCANNING
5715,201407,UNKNOWN
2476,201407,HTTP
482,201407,HTTPS
219,201407,DNS
34,201407,SNEWS
30,201407,NNTP
4,201407,SMTP
10088,201408,SCANNING
6242,201408,UNKNOWN
2689,201408,HTTP
595,201408,HTTPS
248,201408,DNS
3,201408,Telnet
2,201408,TCPMUX
0,201409,None
0,201410,None
0,201411,None
0,201412,None
